week,price
1,0.34
2,0.34
3,0.33
4,0.35
5,0.36
6,0.34
7,0.35
8,0.37
9,0.36
10,0.36
11,0.35
12,0.36
13,0.29
14,0.32
15,0.37
16,0.3
17,0.34
18,0.36
19,0.35
20,0.34
21,0.3
22,0.34
23,0.33
24,0.33
25,0.34
26,0.35
27,0.34
28,0.37
29,0.41
30,0.53
31,0.44
32,0.41
33,0.4
34,0.51
35,0.43
36,0.53
37,0.53
38,0.46
39,0.43
40,0.47
41,0.49
42,0.43
43,0.47
44,0.42
45,0.45
46,0.46
47,0.43
48,0.46
49,0.48
50,0.45
51,0.43
52,0.44
53,0.45
54,0.46
55,0.42
56,0.44
57,0.48
58,0.51
59,0.5
60,0.5
61,0.52
62,0.53
63,0.55
64,0.58
65,0.61
66,0.61
67,0.59
68,0.62
69,0.61
70,0.64
71,0.65
72,0.65
73,0.69
74,0.67
75,0.68
76,0.68
77,0.66
78,0.64
79,0.73
80,0.74
81,0.7
82,0.79
83,0.79
84,0.8
85,0.84
86,0.78
87,0.72
88,0.66
89,0.54
90,0.61
91,0.34
92,0.47
93,0.34
94,0.44
95,0.34
96,0.34
97,0.39
98,0.38
99,0.38
100,0.34
101,0.35
102,0.34
103,0.35
104,0.37
105,0.32
106,0.31
107,0.34
108,0.31
109,0.33
110,0.32
111,0.32
112,0.32
113,0.34
114,0.37
115,0.39
116,0.39
117,0.36
118,0.33
119,0.33
120,0.35
121,0.36
122,0.35
123,0.36
124,0.37
125,0.43
126,0.55
127,0.56
128,0.55
129,0.54
130,0.5
131,0.46
132,0.44
133,0.49
134,0.54
135,0.51
136,0.56
137,0.56
138,0.55
139,0.55
140,0.5
141,0.43
142,0.42
143,0.44
144,0.49
145,0.43
146,0.44
147,0.45
148,0.43
149,0.41
150,0.42
151,0.42
152,0.43
153,0.41
154,0.4
155,0.41
156,0.4
157,0.4
158,0.4
159,0.37
160,0.4
161,0.37
162,0.38
163,0.39
164,0.38
165,0.39
166,0.39
167,0.4
168,0.42
169,0.42
170,0.42
171,0.43
172,0.43
173,0.45
174,0.44
175,0.43
176,0.45
177,0.45
178,0.45
179,0.44
180,0.45
181,0.46
182,0.47
183,0.48
184,0.48
185,0.53
186,0.54
187,0.56
188,0.51
189,0.5
190,0.52
191,0.4
192,0.27
193,0.21
194,0.28
195,0.34
196,0.4
197,0.47
198,0.52
199,0.48
200,0.53
201,0.53
202,0.47
203,0.48
204,0.45
205,0.45
206,0.46
207,0.45
208,0.46
209,0.45
210,0.42
211,0.42
212,0.43
213,0.4
214,0.38
215,0.4
216,0.4
217,0.42
218,0.44
219,0.46
220,0.42
221,0.42
222,0.42
223,0.43
224,0.46
225,0.4
226,0.4
227,0.41
228,0.39
229,0.45
230,0.43
231,0.43
232,0.37
233,0.37
234,0.38
235,0.36
236,0.4
237,0.41
238,0.42
239,0.49
240,0.53
241,0.58
242,0.48
243,0.47
244,0.47
245,0.52
246,0.46
247,0.36
248,0.41
249,0.43
250,0.44
251,0.48
252,0.37
253,0.51
254,0.54
255,0.56
256,0.61
257,0.54
258,0.57
259,0.56
260,0.57
261,0.54
262,0.56
263,0.54
264,0.58
265,0.56
266,0.57
267,0.85
268,0.84
269,0.62
270,0.67
271,0.73
272,0.78
273,0.71
274,0.7
275,0.74
276,0.8
277,0.85
278,0.89
279,1.13
280,1.24
281,1.2
282,1.21
283,1.14
284,1.19
285,1.36
286,1.35
287,1.4
288,1.36
289,1.37
290,1.0
291,0.99
292,1.12
293,1.13
294,0.55
295,0.5
296,0.45
297,0.45
298,0.45
299,0.62
300,0.77
301,0.75
302,0.79
303,0.79
304,0.77
305,0.76
306,0.79
307,0.77
308,0.73
309,0.77
310,0.71
311,0.65
312,0.66
313,0.66
314,0.68
315,0.63
316,0.65
317,0.66
318,0.66
319,0.63
320,0.63
